Date,Price,Open,High,Low,Change %
2020-03-30,1.2416,1.2435,1.2469,1.2317,-0.0032
2020-03-27,1.2456,1.2204,1.2487,1.2131,0.0209
2020-03-26,1.2201,1.1875,1.2232,1.1775,0.026600000000000002
2020-03-25,1.1885,1.176,1.1976,1.1639,0.0109
2020-03-24,1.1757,1.1549,1.1801,1.1508,0.0181
2020-03-23,1.1548,1.166,1.1741,1.1447,-0.008
2020-03-20,1.1641,1.1487,1.1934,1.1409,0.013600000000000001
2020-03-19,1.1485,1.1619,1.1794,1.1473,-0.011000000000000001
2020-03-18,1.1613,1.2052,1.2131,1.1461,-0.0363
2020-03-17,1.205,1.227,1.2275,1.2002,-0.0176
2020-03-16,1.2266,1.2285,1.2431,1.2201,-0.0008
2020-03-13,1.2276,1.2574,1.2626,1.2268,-0.0235
2020-03-12,1.2571,1.2818,1.2851,1.249,-0.0194
2020-03-11,1.282,1.2904,1.2978,1.2804,-0.0067
2020-03-10,1.2906,1.313,1.3133,1.2881,-0.0171
2020-03-09,1.3131,1.3047,1.3201,1.3031,0.0064
2020-03-06,1.3047,1.2954,1.3058,1.2943,0.0072
2020-03-05,1.2954,1.2872,1.2969,1.286,0.006500000000000001
2020-03-04,1.287,1.2812,1.2874,1.2769,0.004699999999999999
2020-03-03,1.281,1.2752,1.2845,1.2738,0.004699999999999999
2020-03-02,1.275,1.28,1.2852,1.2739,-0.0055000000000000005
2020-02-28,1.282,1.2885,1.2921,1.2725,-0.005
2020-02-27,1.2884,1.2907,1.2948,1.286,-0.0015
2020-02-26,1.2903,1.3005,1.3013,1.2896,-0.0078000000000000005
2020-02-25,1.3004,1.2923,1.3019,1.2914,0.006
2020-02-24,1.2927,1.2961,1.2973,1.2886,-0.0032
2020-02-21,1.2969,1.2884,1.2982,1.2877,0.006999999999999999
2020-02-20,1.2879,1.2922,1.293,1.2848,-0.0031
2020-02-19,1.2919,1.2998,1.3024,1.2907,-0.0060999999999999995
2020-02-18,1.2998,1.3007,1.3049,1.2971,-0.0006
2020-02-17,1.3006,1.3036,1.3055,1.2998,-0.0031
2020-02-14,1.3046,1.3051,1.3064,1.3001,0.0001
2020-02-13,1.3045,1.2961,1.307,1.2944,0.0066
2020-02-12,1.296,1.2952,1.2993,1.2948,0.0007000000000000001
2020-02-11,1.2951,1.2915,1.2969,1.2895,0.0029
2020-02-10,1.2913,1.2898,1.2947,1.2872,0.0017000000000000001
2020-02-07,1.2891,1.293,1.296,1.2881,-0.0029
2020-02-06,1.2928,1.2999,1.3005,1.2921,-0.0055000000000000005
2020-02-05,1.3,1.3034,1.3071,1.2956,-0.0022
2020-02-04,1.3029,1.2996,1.3047,1.2941,0.0028000000000000004
2020-02-03,1.2993,1.3217,1.3217,1.2982,-0.015600000000000001
2020-01-31,1.3199,1.31,1.321,1.3083,0.008
2020-01-30,1.3094,1.302,1.3112,1.2978,0.005699999999999999
2020-01-29,1.302,1.3028,1.3032,1.2989,-0.0005
2020-01-28,1.3027,1.3056,1.3066,1.2975,-0.002
2020-01-27,1.3053,1.3075,1.3105,1.304,-0.0018
2020-01-24,1.3076,1.3122,1.3174,1.3057,-0.0034000000000000002
2020-01-23,1.3121,1.3142,1.3152,1.3097,-0.0014000000000000002
2020-01-22,1.314,1.3051,1.3154,1.3034,0.0070999999999999995
2020-01-21,1.3047,1.3013,1.3085,1.2995,0.0029
2020-01-20,1.3009,1.3002,1.3014,1.2962,0.0001
2020-01-17,1.3008,1.308,1.3119,1.3005,-0.0052
2020-01-16,1.3076,1.3039,1.3084,1.3024,0.0031
2020-01-15,1.3036,1.3018,1.3043,1.2986,0.0015
2020-01-14,1.3017,1.2988,1.3035,1.2953,0.0022
2020-01-13,1.2988,1.3055,1.3064,1.2961,-0.0054
2020-01-10,1.3059,1.3067,1.3097,1.3042,-0.0005
2020-01-09,1.3065,1.3101,1.3125,1.3013,-0.0024
2020-01-08,1.3097,1.3125,1.3171,1.308,-0.002
